名称,平台,评分,官方订阅价格,功能描述,官方网站,Setapp链接
Pixelsnap,Mac,95,0.0,Get a top-notch pixel ruler for your Mac’s screen — PixelSnap. The app measures distances and objects as well as takes screenshots and checks alignment across elements on a web page. All from one handy menu.,https://www.pixelsnap.com,https://setapp.com/apps/pixelsnap
Presentify,Mac,81,2.99,"Try Presentify, a menu bar app for Mac, which improves your online presentations. Annotate, draw on the screen, and highlight cursor as you present.",https://www.presentify.com,https://setapp.com/apps/presentify
Prizmo,"Mac, iOS",95,29.99,"Prizmo — OCR app for Mac. Scan documents, make images searchable, and turn them into editable text.",https://www.prizmo.com,https://setapp.com/apps/prizmo
Sip,Mac,92,149.99,"Sip — Color picker for Mac that helps you capture, identify, and organize perfect color palettes.",https://www.sip.com,https://setapp.com/apps/sip
Snapmotion,"Mac, iOS",82,4.99,SnapMotion — Video tool for Mac. Capture still frames from videos in one click.,https://www.snapmotion.com,https://setapp.com/apps/snapmotion
Swift Publisher,Mac,80,19.99,"Swift Publisher is so intuitive that even beginners can start creating flyers, booklets, newsletters in no time. Hands down, the best desktop publishing software for Mac.",https://www.swiftpublisher.com,https://setapp.com/apps/swift-publisher
Touchretouch,Mac,95,9.99,TouchRetouch — Instantly remove unwanted objects from photos on Mac. Edit your images with professional-level precision.,https://www.touchretouch.com,https://setapp.com/apps/touchretouch
Typeface,Mac,91,14.99,"Manage all your fonts effectively with Typeface. Find, compare, and share your typefaces from a single fonts app",https://www.typeface.com,https://setapp.com/apps/typeface
Vivid,Mac,83,0.0,Vivid — Double the screen brightness on M1 MacBook Pro and Pro Display XDR for stunning visuals.,https://www.vivid.com,https://setapp.com/apps/vivid
Xnapper,Mac,88,29.99,"Xnapper — Create and share clean screenshots on Mac. Capture, annotate, and send images in just a few clicks.",https://www.xnapper.com,https://setapp.com/apps/xnapper
Buildwatch,Mac,85,149.99,Buildwatch — Xcode time tracker for Mac. Monitor build times to improve development workflow.,https://www.buildwatch.com,https://setapp.com/apps/buildwatch
Code Snippets Ai,"Mac, iOS",88,49.99,"Browse 250+ apps for your daily tasks. Access favorites like CleanMyMac X, CleanShot X, Bartender and many more under one Setapp subscription.",https://www.codesnippetsai.com,https://setapp.com/apps/code-snippets-ai
Coderunner,Mac,87,39.99,Simply the best programming editor for Mac to experiment with a new coding or scripting language. Test it for yourself.,https://www.coderunner.com,https://setapp.com/apps/coderunner
Core Shell,Mac,82,14.99,"A better way to establish remote connections and manage hundreds of hosts from one place. Check out Core Shell, a powerful SSH client for Mac, compatible with OpenSSH.",https://www.coreshell.com,https://setapp.com/apps/core-shell
Dash,Mac,95,79.99,Dash — Browse API documentation on Mac. Get fast access to code snippets and developer references for better productivity.,https://www.dash.com,https://setapp.com/apps/dash
Devutils,Mac,86,49.99,开发者工具集合,https://www.devutils.com,https://setapp.com/apps/devutils
Gitfox,Mac,81,14.99,"A robust Git client for Mac to cover all your Git needs. Superior Diffs, Powerful search, Conflict Resolution, Git-Flow, Multiple Identities, and more.",https://www.gitfox.com,https://setapp.com/apps/gitfox
Sqlpro Studio,"Mac, iOS",95,59.99,SQLPro Studio — Handle multiple databases on Mac. Simplify your workflow with an intuitive interface for all your SQL needs.,https://www.sqlprostudio.com,https://setapp.com/apps/sqlpro-studio
Sqlpro For Sqlite,Mac,90,19.99,"Manage an SQLite database with a few easy-to-use tools. SQLPro for SQLite is a pro-level database editor that allows you to quickly access tables, organize and filter data, as well as run multiple queries simultaneously.",https://www.sqlproforsqlite.com,https://setapp.com/apps/sqlpro-for-sqlite
Ssh Config Editor,Mac,83,2.99,"SSH Config Editor — SSH client tool for Mac. Edit config files, ports, and identities easily.",https://www.sshconfigeditor.com,https://setapp.com/apps/ssh-config-editor
Tableplus,Mac,82,29.99,"Get everything you need to manage your SQL in a lean and speedy package with TablePlus, while knowing you can get a custom add-on to solve a one-off problem any time.",https://www.tableplus.com,https://setapp.com/apps/tableplus
Xcorganizer,Mac,88,79.99,XCOrganizer — Manage your Xcode projects with ease on Mac. Boost your development efficiency with organized workflows.,https://www.xcorganizer.com,https://setapp.com/apps/xcorganizer
Boom 3D,"Mac, iOS",82,79.99,"Get the peak audio performance out of your Mac with Boom 3D, a powerful volume booster and equalizer. Experience life as it was meant to be heard.",https://www.boom3d.com,https://setapp.com/apps/boom-3d
Boom,Mac,83,4.99,"Boom — Enhance your video calls with Boom. Add text, stickers, and timers to your calls, and enjoy professional overlays and camera controls.",https://www.boom.com,https://setapp.com/apps/boom
Downie,Mac,92,79.99,Downie — Download videos with ease. Save videos from thousands of websites straight to your Mac in just a drag and drop.,https://www.downie.com,https://setapp.com/apps/downie
Elmedia Player,Mac,90,2.99,Elmedia Player — Watch videos on Mac. A versatile media player that solves playback issues for seamless viewing.,https://www.elmediaplayer.com,https://setapp.com/apps/elmedia-player
Freeyourmusic,"Mac, iOS",85,9.99,FreeYourMusic — Playlist transfer app. Move music across platforms and keep tracks organized.,https://www.freeyourmusic.com,https://setapp.com/apps/freeyourmusic
Getsound,"Mac, iOS",95,9.99,"Browse 250+ apps for your daily tasks. Access favorites like CleanMyMac X, CleanShot X, Bartender and many more under one Setapp subscription.",https://www.getsound.com,https://setapp.com/apps/getsound
Juststream,Mac,81,49.99,"JustStream — Stream videos and mirror your Mac screen to TV devices. Compatible with Apple TV, Chromecast, and Smart TVs.",https://www.juststream.com,https://setapp.com/apps/juststream
Lofi Garden,Mac,95,0.0,Lofi Garden — Focus app for Mac. Block noise and stay productive with curated one-click playlists.,https://www.lofigarden.com,https://setapp.com/apps/lofi-garden
Movie Explorer Pro,Mac,92,49.99,"A complete movie collection database curated in seconds. Movie Explorer Pro helps you bring internal video files, HD discs, and DVDs  into one handy library on your Mac – a personalized watchlist.",https://www.movieexplorerpro.com,https://setapp.com/apps/movie-explorer-pro
Movist Pro,Mac,91,49.99,"Get an advanced movie player with Quicktime and FFmpeg decoder support. Play movies, add subtitles and multiple tracks for video and audio, and bring your faves in a custom playlist.",https://www.movistpro.com,https://setapp.com/apps/movist-pro
Noizio,Mac,92,49.99,"Noizio — Ambient sound app for Mac. Play rain, waves, and fire to create a relaxing background atmosphere.",https://www.noizio.com,https://setapp.com/apps/noizio
Permute,Mac,92,59.99,"Permute — Convert videos, audio, and images on Mac. Quick and simple drag-and-drop media converter.",https://www.permute.com,https://setapp.com/apps/permute
Pulltube,Mac,86,9.99,"Download video, audio, and playlists with Pulltube, an online media downloader for Mac. Trim the outputs, instantly change the file format with a built-in converter, and save your content to any location on Mac.",https://www.pulltube.com,https://setapp.com/apps/pulltube
Transloader,Mac,82,39.99,"Transloader — Remote download manager for Mac. Start downloads from iPhone, iPad, or another Mac.",https://www.transloader.com,https://setapp.com/apps/transloader
Vidcap,"Mac, iOS",89,0.0,VidCap — Caption maker for Mac. Add professional subtitles to videos quickly and easily.,https://www.vidcap.com,https://setapp.com/apps/vidcap
Voice Dream Reader,Mac,85,49.99,Voice Dream Reader — Listen to your texts on Mac. Turn your written content into audio for on-the-go consumption.,https://www.voicedreamreader.com,https://setapp.com/apps/voice-dream-reader
Base,Mac,90,14.99,"Base — SQLite database manager for Mac. Edit and query databases with ease, no SQL knowledge required.",https://www.base.com,https://setapp.com/apps/base
Expenses,"Mac, iOS",91,59.99,"Track your expenses and income, analyze spending trends over time, and keep an eye on the big picture with stats by spending category.",https://www.expenses.com,https://setapp.com/apps/expenses
Greenbooks,"Mac, iOS",82,4.99,GreenBooks — Simple finance app for Mac. Track expenses and manage your budget without unnecessary extras.,https://www.greenbooks.com,https://setapp.com/apps/greenbooks
Invoice Rex,"Mac, iOS",89,0.0,Invoice Rex gives you everything you need to manage all of your invoices. The best part? It combines invoice tracking and accounting in one handy tool.,https://www.invoicerex.com,https://setapp.com/apps/invoice-rex
Merlin Project Express,iOS,84,49.99,Merlin Project Express — Manage projects with full flexibility on Mac. Organize tasks and timelines effortlessly for smoother execution.,https://www.merlinprojectexpress.com,https://setapp.com/apps/merlin-project-express
Moneywiz,"Mac, iOS",87,49.99,"Manage your money, create budgets, track bills, and analyze your spending with this advanced helper.",https://www.moneywiz.com,https://setapp.com/apps/moneywiz
Numerics,"Mac, iOS",82,59.99,Numerics — Business dashboard app for Mac to monitor KPIs and make data-driven decisions.,https://www.numerics.com,https://setapp.com/apps/numerics
Pagico,Mac,89,79.99,"Pagico — Project and task manager for Mac. Organize clients, data, and workflows in one app.",https://www.pagico.com,https://setapp.com/apps/pagico
Receipts,Mac,87,29.99,"Grab an uncomplicated receipts scanner app on Setapp. Receipts allows you to scan, track, and manage your payments from a single library on your Mac.",https://www.receipts.com,https://setapp.com/apps/receipts
Sheetplanner,Mac,82,149.99,"SheetPlanner — Planner app for Mac. Organize files, tasks, and goals in one place.",https://www.sheetplanner.com,https://setapp.com/apps/sheetplanner
Canary Mail,"Mac, iOS",94,0.0,"Manage your inbox like a pro with Canary Mail and save time with its AI functionality to help you write, summarize, and manage mail.",https://www.canarymail.com,https://setapp.com/apps/canary-mail
Chatmate For Whatsapp,Mac,95,99.99,"ChatMate — WhatsApp client for Mac. Message, share files, use Touch Bar, and switch to dark mode.",https://www.chatmateforwhatsapp.com,https://setapp.com/apps/chatmate-for-whatsapp
Im Plus,Mac,85,4.99,多协议即时通讯客户端,https://www.implus.com,https://setapp.com/apps/im-plus
Mail,Mac,87,79.99,Mail - 专业的Mac应用程序，提升您的工作效率,https://www.mail.com,https://setapp.com/apps/mail
Spark Mail,"Mac, iOS",90,2.99,"Spark Mail — Organize your inbox on Mac. Separate priority emails, pin messages, and streamline workflows.",https://www.sparkmail.com,https://setapp.com/apps/spark-mail
Boltai,Mac,87,14.99,Boltai - 专业的Mac应用程序，为您的工作和生活带来便利,https://www.boltai.com,https://setapp.com/apps/boltai
Elephas,"Mac, iOS",88,9.99,"Elephas — Organize your knowledge using AI on Mac. Manage your ideas, notes, and thoughts more effectively.",https://www.elephas.com,https://setapp.com/apps/elephas
Typingmind,Mac,83,49.99,TypingMind — Chat with AI in a sleek new interface on Mac. Experience more intuitive conversations and smarter responses.,https://www.typingmind.com,https://setapp.com/apps/typingmind
Spellar Ai,Mac,86,4.99,"Spellar AI — Meeting assistant for Mac. Get summaries, action items, and productivity integrations.",https://www.spellarai.com,https://setapp.com/apps/spellar-ai
Almighty,Mac,86,99.99,"Use this dedicated Mac configurator to help unlock all the cool settings, customizations, and utilities on your device.",https://www.almighty.com,https://setapp.com/apps/almighty
Antinote,Mac,80,79.99,Antinote — Sticky notes app for Mac. Keep quick reminders always on top for easy access.,https://www.antinote.com,https://setapp.com/apps/antinote
Anydroid,Mac,80,4.99,Anydroid - 专业的Mac应用程序，提升您的工作效率,https://www.anydroid.com,https://setapp.com/apps/anydroid
Anytrans For Ios,Mac,82,4.99,Anytrans For Ios - 专业的Mac应用程序，提升您的工作效率,https://www.anytransforios.com,https://setapp.com/apps/anytrans-for-ios
Archiver,Mac,90,79.99,"From opening RAR, ZIP, 7Zip, and other archives to splitting large files, without wasting disk space, this Mac archiver is essential to every user's toolkit.",https://www.archiver.com,https://setapp.com/apps/archiver
Backtrack,Mac,88,39.99,Backtrack — Audio recorder for Mac that saves up to 5 hours of unrecorded conversations.,https://www.backtrack.com,https://setapp.com/apps/backtrack
Betterzip,Mac,94,149.99,"BetterZip — Archive manager for Mac that opens 30+ formats. Zip, unzip, and manage files quickly and securely.",https://www.betterzip.com,https://setapp.com/apps/betterzip
Bike,Mac,80,9.99,Bike - 专业的Mac应用程序，提升您的工作效率,https://www.bike.com,https://setapp.com/apps/bike
Chimeful,Mac,83,19.99,"Chimeful — Schedule reminders for breaks, hydration, or meditation—perfect for remote workers, wellness-minded people, and routine-builders.",https://www.chimeful.com,https://setapp.com/apps/chimeful
Chronosync Express,Mac,80,19.99,ChronoSync Express — Sync folders and create backup tasks on Mac. Ideal for file organization and safety.,https://www.chronosyncexpress.com,https://setapp.com/apps/chronosync-express
Clop,Mac,89,29.99,"Clop — File optimization tool for Mac to shrink images, videos, and PDFs instantly.",https://www.clop.com,https://setapp.com/apps/clop
Cloud Outliner,Mac,91,14.99,Cloud Outliner — Outline your ideas on Mac. Organize and edit your notes visually for better recall and planning.,https://www.cloudoutliner.com,https://setapp.com/apps/cloud-outliner
Cloudmounter,Mac,84,39.99,"CloudMounter — Mount cloud storage as local drives on Mac. Access Dropbox, Google Drive, and more like a pro.",https://www.cloudmounter.com,https://setapp.com/apps/cloudmounter
Dcommander,Mac,95,59.99,"Move, copy, and organize thousands of files in a snap using DCommander, an intuitive two-pane file manager.",https://www.dcommander.com,https://setapp.com/apps/dcommander
Deskminder,Mac,84,59.99,DeskMinder² — Productivity tracker for Mac. Get reminders and insights to stay on task.,https://www.deskminder.com,https://setapp.com/apps/deskminder
Diarly,"Mac, iOS",80,99.99,Grab the top-rated digital diary on Setapp and start recording your life journey. Diarly has rich customization features and password protection to personalize your journaling.,https://www.diarly.com,https://setapp.com/apps/diarly
Dropshare,"Mac, iOS",82,79.99,"Working alongside other storage services, Dropshare is a drag and drop file sharing tool for Mac that its job exceptionally well.",https://www.dropshare.com,https://setapp.com/apps/dropshare
Dropzone,Mac,89,99.99,Dropzone — Streamline file management on Mac. Set up custom actions and drag files for faster workflow.,https://www.dropzone.com,https://setapp.com/apps/dropzone
Eter,"Mac, iOS",93,29.99,Eter — Listen to thousands of internet radio stations or discover new ones on Mac.,https://www.eter.com,https://setapp.com/apps/eter
Euclid,"Mac, iOS",90,59.99,"Euclid — Solve math problems, edit in LaTeX, work with Excel formulas, and convert anything on Mac and iPhone.",https://www.euclid.com,https://setapp.com/apps/euclid
Folx,Mac,82,49.99,"Folx — Speed up your Downloads on Mac. Manage torrents, split Downloads into multiple streams, and save time.",https://www.folx.com,https://setapp.com/apps/folx
Forecast Bar,Mac,93,49.99,"Install Forecast Bar and never go about your day without knowing what the weather is going to be like. Customize locations, get automatic updates, and see hyper local conditions at a glance.",https://www.forecastbar.com,https://setapp.com/apps/forecast-bar
Get Backup Pro,Mac,91,59.99,Get Backup Pro — Backup software for Mac. Recover lost data even on computers without the app installed.,https://www.getbackuppro.com,https://setapp.com/apps/get-backup-pro
Godspeed,"Mac, iOS",94,4.99,"Godspeed — Add, edit, and snooze tasks with keyboard shortcuts and natural-language dates, ideal for busy professionals and power users.",https://www.godspeed.com,https://setapp.com/apps/godspeed
Goldie App,Mac,90,14.99,"In life and design, balance is king. Goldie App is a golden ratio calculator that measures proportions on your projects. Bring ideal proportions into your design.",https://www.goldieapp.com,https://setapp.com/apps/goldie-app
Headway,iOS,89,99.99,Headway — Get book summaries on Mac. Discover key insights from nonfiction books without spending hours reading.,https://www.headway.com,https://setapp.com/apps/headway
